dataset,split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,start,end,emotion_code,emotion,erc_target,text,dialog_type,marker_gender,intensity_mean_db,intensity_std_db,pitch_mean_hz,pitch_std_hz,pitch_range_hz,articulation_rate_syll_per_s,hnr_mean_db,audio_path,audio_exists
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F000,0,F,6.2901,8.2357,neu,neutral,True,Excuse me.,impro,F,56.36846690397242,7.798038240912954,238.05939814490011,21.948410832210747,66.00452925013005,2.055960679752,12.145908775514789,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M000,1,M,7.5712,10.475,fru,frustrated,True,Do you have your forms?,impro,F,61.10710892844865,8.877986949402006,140.9697325839502,11.425197971422339,35.114537493773014,1.6412500854817755,10.564835468169091,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F001,2,F,10.01,11.3925,neu,neutral,True,Yeah.,impro,F,59.14890175153039,9.093194173761114,187.77929364311254,18.692587388076316,60.79971604959823,2.9761904761904754,4.676721906242475,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M001,3,M,10.9266,14.6649,fru,frustrated,True,Let me see them.,impro,F,53.33112259950427,6.211786743494081,122.74726527574431,6.7541703778078706,31.2053398812575,2.9425041378964436,7.226056458993079,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F002,4,F,14.8872,18.0175,neu,neutral,True,Is there a problem?,impro,F,56.90107877428326,8.211712124927878,201.9965570919966,35.617354831326914,100.38757342157484,1.6595788818587283,9.059312912408652,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M002,5,M,16.8352,19.7175,fru,frustrated,True,Who told you to get in this line?,impro,F,66.4318481737716,10.706762364972352,159.04124118203447,45.5387381127444,159.34158944543978,4.84232189334786,8.903617262487089,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F003,6,F,19.29,20.7875,xxx,unknown,False,You did.,impro,F,61.40576598599232,10.03499354345025,192.45537327598848,31.770776903842762,113.08964480324397,1.1101859561476548,8.778947850250633,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F003.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F004,7,F,21.3257,24.74,xxx,unknown,False,You were standing at the beginning and you directed me.,impro,F,65.60401798818762,11.925822435725166,204.31881592581794,36.50836333217406,141.17334258211415,4.974843122844706,10.341638458942247,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F004.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M003,8,M,23.47,28.03,fru,frustrated,True,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,impro,F,70.74460279672745,10.84771289792817,166.16072521422595,43.546475195573834,403.8567448010775,5.612244897959184,10.20203970468473,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F005,9,F,27.46,31.49,neu,neutral,True,Well what's the problem?  Let me change it.,impro,F,70.83920921257634,13.28578374799849,255.63860952585296,63.64062602968099,298.9740508410227,4.092261904761904,9.038192883458823,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M004,10,M,28.395,31.2117,fru,frustrated,True,This form is a Z.X.four.,impro,F,73.89339192954768,12.374108553879282,199.01620549479054,47.30332139788896,282.0522491012379,4.7407407407407405,10.26126320142941,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M005,11,M,31.266,39.3875,fru,frustrated,True,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",impro,F,73.08978450655638,12.90314938188594,198.13115241316152,31.41716485153661,168.27365644776154,5.072812349674203,11.43005929170317,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F006,12,F,38.965,43.59,fru,frustrated,True,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,impro,F,74.47733602265731,9.967503661352556,221.01385645832968,57.64536239609575,302.15078634953863,5.507003471806537,10.503095782013158,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M006,13,M,41.23,46.98,fru,frustrated,True,No. I need another set of ID to prove this is actually you.,impro,F,74.17455310281177,9.90369837482904,190.61048911745218,32.42734923064065,197.58756609401058,3.890329751759911,11.613299841189447,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F007,14,F,46.58,52.19,fru,frustrated,True,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,impro,F,70.6752346174856,12.417997156565777,227.4610151729541,64.28965615592068,264.0114684523541,5.515166708448233,12.514143382533911,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,True
