split,season,episode,dialog_id,dialog_idx,turn_id,turn_idx,speaker,gender,emotion,utterance,intensity_mean_db,intensity_std_db,pitch_mean_hz,pitch_std_hz,pitch_range_hz,articulation_rate_syll_per_s,hnr_mean_db,intensity_level,pitch_level,rate_level
train,8,21,0,0,0,0,Chandler,M,neutral,also I was the point person on my companys transition from the KL-5 to GR-6 system.,68.6161,7.6603,123.7949,21.7911,110.4046,4.0531,4.6684,high,low,medium
train,8,21,0,0,1,1,The Interviewer,U,neutral,You mustve had your hands full.,69.9366,9.886,131.1184,30.1303,112.3342,3.3967,6.3007,high,low,medium
train,8,21,0,0,2,2,Chandler,M,neutral,That I did. That I did.,64.6005,10.4326,130.37,79.0221,377.6606,4.0509,6.0182,medium,low,medium
train,8,21,0,0,3,3,The Interviewer,U,neutral,So lets talk a little bit about your duties.,68.5423,11.7792,151.4615,53.9528,408.5042,5.2023,6.4548,high,low,high
train,8,21,0,0,4,4,Chandler,M,surprise,My duties?  All right.,67.9119,8.7537,212.8408,117.6401,382.0995,3.6456,0.5036,high,medium,medium
train,8,21,0,0,5,5,The Interviewer,U,neutral,"Now youll be heading a whole division, so youll have a lot of duties.",69.4675,12.9771,163.4809,38.0179,152.5448,4.2351,9.2011,high,low,medium
train,8,21,0,0,6,6,Chandler,M,neutral,I see.,69.9186,10.3181,155.737,31.7347,177.6651,4.1583,7.9313,high,low,medium
train,8,21,0,0,7,7,The Interviewer,U,neutral,But therell be perhaps 30 people under you so you can dump a certain amount on them.,69.0753,9.0352,136.2202,32.5059,223.7492,4.2996,8.373,high,low,medium
train,8,21,0,0,8,8,Chandler,M,neutral,Good to know.,67.262,8.4725,240.132,123.8749,335.6181,2.0833,4.923,high,high,low
train,8,21,0,0,9,9,The Interviewer,U,neutral,We can go into detail,67.0514,9.4588,162.9188,52.3686,210.054,2.7043,6.3219,high,low,low
train,8,21,0,0,10,10,Chandler,M,fear,No dont I beg of you!,69.6577,11.504,207.3489,48.8009,194.5613,5.4436,3.4395,high,medium,high
train,8,21,0,0,11,11,The Interviewer,U,neutral,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",68.4887,10.3686,154.7601,34.1506,169.3689,4.0274,7.0677,high,low,medium
train,8,21,0,0,12,12,Chandler,M,surprise,Really?!,66.4891,10.4154,132.914,20.6627,64.1207,2.6862,4.7766,high,low,low
train,8,21,0,0,13,13,The Interviewer,U,neutral,Absolutely.  You can relax,66.6102,9.6832,114.0764,18.7028,64.8659,2.8974,6.0902,high,low,low
train,9,23,1,1,0,0,Joey,M,surprise,But then who? The waitress I went out with last month?,62.9535,8.2077,152.3733,47.4425,281.9924,3.6368,4.6772,medium,low,medium
train,9,23,1,1,1,1,Rachel,F,sadness,You know? Forget it!,59.9897,11.8757,234.2972,73.6854,285.223,2.7253,9.531,low,low,low
train,9,23,1,1,2,2,Joey,M,surprise,"No-no-no-no, no! Who, who were you talking about?",62.7783,10.6495,227.8833,68.7799,306.7388,4.1159,7.6731,medium,high,medium
train,9,23,1,1,3,3,Rachel,F,fear,"No, I-I-I-I don't, I actually don't know",61.273,6.7179,224.5667,54.4345,301.0324,3.9725,4.4456,low,low,medium
train,9,23,1,1,4,4,Joey,M,neutral,Ok!,58.1207,6.8935,204.7871,111.3891,298.2792,4.2614,3.9203,low,medium,medium
train,9,23,1,1,5,5,Joey,M,neutral,"All right, well...",57.4093,10.8142,97.7583,0.9227,5.4367,,12.4677,low,low,
train,9,23,1,1,8,6,Rachel,F,neutral,"Yeah, sure!",54.3872,10.0683,303.9618,109.8191,303.5235,1.4822,6.6881,low,medium,low
train,3,6,2,2,0,0,Chandler,M,neutral,"Hey, Mon.",64.8945,3.3909,115.0375,50.5419,157.1558,4.5956,2.9734,medium,low,high
train,3,6,2,2,1,1,Monica,F,neutral,Hey-hey-hey. You wanna hear something that sucks.,65.1048,5.6823,299.8043,115.4543,335.4977,3.4466,4.3287,high,medium,medium
train,3,6,2,2,2,2,Chandler,M,joy,Do I ever.,63.2323,4.8252,174.0958,72.8372,243.2946,3.2703,2.4898,medium,medium,low
train,3,6,2,2,3,3,Monica,F,sadness,Chris says theyre closing down the bar.,64.6671,4.0975,277.6906,103.0171,309.8466,5.3403,3.9322,medium,medium,high
train,3,6,2,2,4,4,Chandler,M,surprise,No way!,64.4768,5.8616,277.6263,81.2335,271.3121,3.9062,6.7481,medium,high,medium
train,3,6,2,2,5,5,Monica,F,neutral,"Yeah, apparently theyre turning it into some kinda coffee place.",63.7951,4.7464,208.2423,63.0443,236.9782,4.5072,5.0892,medium,low,high
train,3,6,2,2,6,6,Chandler,M,disgust,Just coffee! Where are we gonna hang out now?,64.5278,5.2303,216.9771,76.0044,242.1815,3.5417,3.7035,medium,high,medium
train,3,6,2,2,7,7,Monica,F,sadness,Got me.,65.3349,4.8381,231.4844,70.3526,213.4326,2.9762,3.9995,high,low,low
train,3,6,2,2,8,8,Chandler,M,neutral,Can I get a beer.,65.5775,6.155,224.961,33.725,113.1498,3.125,4.5318,high,high,low
train,3,6,2,2,9,9,Monica,F,neutral,"Hey, did you pick a roommate?",62.3304,4.8634,247.2704,100.3897,349.7508,5.0951,3.2617,medium,medium,high
train,3,6,2,2,10,10,Chandler,M,joy,You betcha!,63.6601,7.6303,133.1859,19.4105,56.8973,2.467,3.0829,medium,low,low
train,3,6,2,2,11,11,Monica,F,neutral,Is it the Italian guy?,65.6156,4.1305,334.9829,68.2754,370.5669,5.1137,5.2717,high,high,high
train,3,6,2,2,12,12,Chandler,M,joy,"Um-mm, yeah right!",66.659,3.1853,157.1283,18.4225,80.7922,3.2895,8.8907,high,low,low
train,3,12,3,3,0,0,Phoebe,F,surprise,"Oh my God, oh my God! Poor Monica!",63.0952,8.7393,341.5473,96.1682,335.8018,5.1136,11.0271,medium,high,high
train,3,12,3,3,1,1,Chandler,M,surprise,"What, what, what?!",63.6172,9.8754,306.6553,43.4065,174.8708,4.4221,9.5333,medium,high,medium
train,3,12,3,3,2,2,Phoebe,F,surprise,What?!,62.9237,10.1245,285.9896,89.5385,421.1966,2.3437,11.2978,medium,medium,low
train,3,12,3,3,3,3,Phoebe,F,neutral,He was with her when he wrote this poem.,62.7334,10.2598,388.7672,65.5776,246.3792,4.1118,13.1033,medium,high,medium
train,3,12,3,3,4,4,Phoebe,F,neutral,"Look,  'My vessel so empty with nothing inside.",62.1455,8.8294,332.3487,53.322,315.681,4.2294,13.5648,medium,high,medium
train,3,12,3,3,5,5,Phoebe,F,neutral,"Now that I've touched you, you seem emptier still.'",61.3152,12.7239,326.8284,36.4635,190.785,4.4856,12.2808,low,high,high
train,3,12,3,3,6,6,Phoebe,F,surprise,"He thinks Monica is empty, she is the empty vase!",62.6554,9.5516,361.516,68.9051,229.2488,3.9979,11.4251,medium,high,medium
train,3,12,3,3,8,7,Phoebe,F,sadness,"Oh, totally. Oh, God, oh, she seemed so happy too.",56.8732,8.3252,272.6211,31.0145,131.0769,3.2703,12.9341,low,medium,low
train,3,12,3,3,9,8,Joey,M,neutral,Done.,62.0183,12.9497,224.68,60.9507,177.7328,2.3291,1.2355,medium,high,low
