dataset,split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,start,end,emotion_code,emotion,erc_target,utterance,dialog_type,marker_gender
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F000,0,F,6.2901,8.2357,neu,neutral,True,Excuse me.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M000,1,M,7.5712,10.475,fru,frustrated,True,Do you have your forms?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F001,2,F,10.01,11.3925,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M001,3,M,10.9266,14.6649,fru,frustrated,True,Let me see them.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F002,4,F,14.8872,18.0175,neu,neutral,True,Is there a problem?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M002,5,M,16.8352,19.7175,fru,frustrated,True,Who told you to get in this line?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F003,6,F,19.29,20.7875,xxx,unknown,False,You did.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F004,7,F,21.3257,24.74,xxx,unknown,False,You were standing at the beginning and you directed me.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M003,8,M,23.47,28.03,fru,frustrated,True,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F005,9,F,27.46,31.49,neu,neutral,True,Well what's the problem?  Let me change it.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M004,10,M,28.395,31.2117,fru,frustrated,True,This form is a Z.X.four.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M005,11,M,31.266,39.3875,fru,frustrated,True,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F006,12,F,38.965,43.59,fru,frustrated,True,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M006,13,M,41.23,46.98,fru,frustrated,True,No. I need another set of ID to prove this is actually you.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F007,14,F,46.58,52.19,fru,frustrated,True,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M007,15,M,51.4,57.64,fru,frustrated,True,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F008,16,F,56.16,58.8225,fru,frustrated,True,I'm here to get an ID.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M008,17,M,58.18,62.59,fru,frustrated,True,"No.  I need another ID, a separate one.",impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F009,18,F,61.87,65.97,fru,frustrated,True,Like what?  Like a birth certificate?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M009,19,M,65.51,73.0,fru,frustrated,True,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F010,20,F,66.42,69.34,xxx,unknown,False,Who the hell has a birth certificate?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F011,21,F,72.45,82.26,fru,frustrated,True,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M010,22,M,81.59,86.03,fru,frustrated,True,"Yeah.  We keep it on file, but we need an ID to access that file.",impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F012,23,F,85.27,88.02,ang,angry,True,That's out of control.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M011,24,M,87.15,94.39,ang,angry,True,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F013,25,F,93.67,97.0218,fru,frustrated,True,How long have you been working here?,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M012,26,M,95.86,98.68,xxx,unknown,False,Actually too long.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F014,27,F,97.89,102.96,neu,neutral,True,"Clearly.  You know, do you have like a supervisor or something?",impro,F
